Year,Site,Plot,Subplot,Species_name,Number,DPM_Height,Fencing,Treatment,
2024,A,4,Z1,Urochloa trichopus,1,27.9,Fenced,TF,
2024,A,4,Z1,NA,NA,33.3,Fenced,TF,
2024,A,4,Z1,NA,NA,37,Fenced,TF,
2024,A,4,Z2,Bothriochloa insculpta,5,20.5,Unfenced,TF,
2024,A,4,Z2,Digitaria eriantha,3,21.7,Unfenced,TF,
2024,A,4,Z2,NA,NA,22,Unfenced,TF,
2024,A,4,Z2,Aristida adscensionis,1,18.7,Unfenced,TF,
2024,A,4,Z2,Cymbopogon caesius,2,19.2,Unfenced,TF,
2024,A,4,Z2,Heteropogon contortus,5,18.9,Unfenced,TF,
2024,A,4,Z2,Digitaria eriantha,4,18.5,Unfenced,TF,
2024,A,4,Z2,Aristida adscensionis,4,20.5,Unfenced,TF,
2024,A,4,Z2,Heteropogon contortus,3,20.7,Unfenced,TF,
2024,A,4,Z2,NA,NA,20.5,Unfenced,TF,
2024,A,4,Z2,NA,NA,21.4,Unfenced,TF,
2024,A,4,Z2,Cymbopogon caesius,3,36.4,Unfenced,TF,
2024,A,4,Z2,Heteropogon contortus,2,36.6,Unfenced,TF,
2024,A,4,Z2,Andropogon eucomus,1,32.1,Unfenced,TF,
2024,A,4,Z2,NA,NA,30.6,Unfenced,TF,
2024,A,4,Z2,Aristida adscensionis,1,23,Unfenced,TF,
2024,A,4,Z2,Themeda triandra,4,23.1,Unfenced,TF,
2024,A,4,Z2,NA,NA,21.7,Unfenced,TF,
2024,A,4,Z2,NA,NA,19,Unfenced,TF,
2024,A,4,Z2,NA,NA,21.1,Unfenced,TF,
2024,A,4,Z3,Loudetia simplex,2,20.2,Fenced,TF,
2024,A,4,Z3,Bothriochloa insculpta,11,20.1,Fenced,TF,
2024,A,4,Z3,NA,NA,20.1,Fenced,TF,
2024,A,4,Z3,NA,NA,20.4,Fenced,TF,
2024,A,4,Z3,Bothriochloa insculpta,7,20.2,Fenced,TF,
2024,A,4,Z3,Aristida adscensionis,1,20.3,Fenced,TF,
2024,A,4,Z3,NA,NA,20.6,Fenced,TF,
2024,A,4,Z3,NA,NA,20,Fenced,TF,
2024,A,4,Z3,Bothriochloa insculpta,7,12.7,Fenced,TF,
2024,A,4,Z3,Andropogon eucomus,1,17.2,Fenced,TF,
2024,A,4,Z3,NA,NA,16.1,Fenced,TF,
2024,A,4,Z3,NA,NA,17.3,Fenced,TF,
2024,A,4,Z3,Urochloa trichopus,1,3.7,Fenced,TF,
2024,A,4,Z3,Digitaria eriantha,4,9.5,Fenced,TF,
2024,A,4,Z3,Andropogon eucomus,1,13,Fenced,TF,
2024,A,4,Z3,Bothriochloa insculpta,1,11.4,Fenced,TF,
2024,A,4,Z3,Bothriochloa insculpta,7,19.6,Fenced,TF,
2024,A,4,Z3,Aristida adscensionis,1,20,Fenced,TF,
2024,A,4,Z3,NA,NA,20.1,Fenced,TF,
2024,A,4,Z3,NA,NA,20.1,Fenced,TF,
2024,A,4,Z4,Bothriochloa insculpta,8,18.3,Unfenced,TF,
2024,A,4,Z4,Heteropogon contortus,1,18.9,Unfenced,TF,
2024,A,4,Z4,Melinis repens,1,19,Unfenced,TF,
2024,A,4,Z4,NA,NA,18.9,Unfenced,TF,
2024,A,4,Z4,Andropogon eucomus,1,17.9,Unfenced,TF,
2024,A,4,Z4,Urochloa trichopus,12,19.1,Unfenced,TF,
2024,A,4,Z4,Cymbopogon caesius,2,19.4,Unfenced,TF,
2024,A,4,Z4,NA,NA,19.4,Unfenced,TF,
2024,A,4,Z4,Heteropogon contortus,4,23,Unfenced,TF,
2024,A,4,Z4,Themeda triandra,2,22.2,Unfenced,TF,
2024,A,4,Z4,Eragrostis superba,3,21.3,Unfenced,TF,
2024,A,4,Z4,NA,NA,20.8,Unfenced,TF,
2024,A,4,Z4,Bothriochloa insculpta,7,19.9,Unfenced,TF,
2024,A,4,Z4,Heteropogon contortus,4,19.9,Unfenced,TF,
2024,A,4,Z4,Digitaria eriantha,3,19.5,Unfenced,TF,
2024,A,4,Z4,NA,NA,19.2,Unfenced,TF,
2024,A,4,Z4,Heteropogon contortus,4,25.7,Unfenced,TF,
2024,A,4,Z4,Themeda triandra,3,17.1,Unfenced,TF,
2024,A,4,Z4,Eragrostis superba,1,17.8,Unfenced,TF,
2024,A,4,Z4,Digitaria eriantha,3,22.1,Unfenced,TF,
2024,A,5,Z1,Hyparrhenia hirta,1,12.1,Fenced,THF,
2024,A,5,Z1,Urochloa trichopus,4,13.8,Fenced,THF,
2024,A,5,Z1,Hyparrhenia filipendula,3,13.7,Fenced,THF,
2024,A,5,Z1,Bothriochloa insculpta,2,14.2,Fenced,THF,
2024,A,5,Z1,Heteropogon contortus,4,NA,Fenced,THF,
2024,A,5,Z1,Aristida adscensionis,3,NA,Fenced,THF,
2024,A,5,Z1,Urochloa trichopus,4,25.6,Fenced,THF,
2024,A,5,Z1,Aristida adscensionis,6,20.8,Fenced,THF,
2024,A,5,Z1,NA,NA,22.3,Fenced,THF,
2024,A,5,Z1,NA,NA,22.7,Fenced,THF,
2024,A,5,Z1,Cymbopogon caesius,2,28.2,Fenced,THF,
2024,A,5,Z1,Bothriochloa insculpta,4,28.8,Fenced,THF,
2024,A,5,Z1,Urochloa trichopus,4,31.2,Fenced,THF,
2024,A,5,Z1,NA,NA,28.8,Fenced,THF,
2024,A,5,Z1,Hyparrhenia hirta,2,21,Fenced,THF,
2024,A,5,Z1,Heteropogon contortus,4,17.1,Fenced,THF,
2024,A,5,Z1,Urochloa trichopus,3,21.7,Fenced,THF,
2024,A,5,Z1,NA,NA,23,Fenced,THF,
2024,A,5,Z1,Urochloa trichopus,3,17.1,Fenced,THF,
2024,A,5,Z1,Hyparrhenia filipendula,2,14.7,Fenced,THF,
2024,A,5,Z1,Bothriochloa insculpta,4,21.1,Fenced,THF,
2024,A,5,Z1,NA,NA,21.4,Fenced,THF,
2024,A,5,Z2,Urochloa trichopus,7,22.6,Unfenced,THF,
2024,A,5,Z2,Heteropogon contortus,2,16.8,Unfenced,THF,
2024,A,5,Z2,Aristida adscensionis,8,14.9,Unfenced,THF,
2024,A,5,Z2,Setaria sphacelata,1,13.6,Unfenced,THF,
2024,A,5,Z2,Urochloa trichopus,1,10.6,Unfenced,THF,
