Species_name,spec.name,scientificName,taxonomicStatus,New.accepted,scientificNameAuthorship,genus,taxonRank,family,taxonID,references,source
Canthium inerme,Canthium inerme,Canthium inerme,Accepted,FALSE,(L.f.) Kuntze,Canthium,species,Rubiaceae,wfo-0000797971,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:745470-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Albizia gummifera,Albizia gummifera,Albizia gummifera,Accepted,FALSE,(J.F.Gmel.) C.A.Sm.,Albizia,species,Fabaceae,wfo-0000183535,https://www.legumedata.org/taxonomy/taxon/2627355,The Fabaceae TEN - Legume Taxonomy Working Group
Volkameria eriophylla,Volkameria eriophylla,Volkameria eriophylla,Accepted,FALSE,(Gürke) Mabb. & Y.W.Yuan,Volkameria,species,Lamiaceae,wfo-0000916726,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77104016-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Boscia angustifolia,Boscia angustifolia,Maerua gilgii,Accepted,TRUE,Schinz,Maerua,species,Capparaceae,wfo-0000375739,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:147702-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Balanites maughamii,Balanites maughamii,Balanites maughamii,Accepted,FALSE,Sprague,Balanites,species,Zygophyllaceae,wfo-0000313543,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:873111-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Clerodendrum glabrum,Clerodendrum glabrum,Volkameria glabra,Accepted,TRUE,(E.Mey.) Mabb. & Y.W.Yuan,Volkameria,species,Lamiaceae,wfo-0000916754,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77103945-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Senegalia nigrescens,Senegalia nigrescens,Senegalia nigrescens,Accepted,FALSE,(Oliv.) P.J.H.Hurter,Senegalia,species,Fabaceae,wfo-0001284771,https://www.legumedata.org/taxonomy/taxon/2608730,The Fabaceae TEN - Legume Taxonomy Working Group
Clematopsis scabiossifolia,Clematopsis scabiossifolia,Clematis villosa,Accepted,TRUE,DC.,Clematis,species,Ranunculaceae,wfo-0000610865,,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Cordia monoicaroxb,Cordia monoicaroxb,Cordia,Accepted,FALSE,L.,Cordia,genus,Cordiaceae,wfo-4000009266,,TPL1.1
Annona senegalensis,Annona senegalensis,Annona senegalensis,Accepted,FALSE,Pers.,Annona,species,Annonaceae,wfo-0000537928,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:72309-1,The Annonaceae TEN
Colophospermum mopane,Colophospermum mopane,Colophospermum mopane,Accepted,FALSE,(J.Kirk ex Benth.) J.Léonard,Colophospermum,species,Fabaceae,wfo-0001057638,https://www.legumedata.org/taxonomy/taxon/2731425,The Fabaceae TEN - Legume Taxonomy Working Group
Lannea edulis,Lannea edulis,Lannea edulis,Accepted,FALSE,(Sond.) Engl.,Lannea,species,Anacardiaceae,wfo-0000360306,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:69767-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Combretum molle,Combretum molle,Combretum molle,Accepted,FALSE,R.Br. ex G.Don,Combretum,species,Combretaceae,wfo-0000616553,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:170290-1,The Combretaceae TEN
Strychnos spinosa,Strychnos spinosa,Strychnos spinosa,Accepted,FALSE,Lam.,Strychnos,species,Loganiaceae,wfo-0000502889,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:547485-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Grewia bicolor,Grewia bicolor,Grewia bicolor,Accepted,FALSE,Juss.,Grewia,species,Malvaceae,wfo-0000709772,,The Malvaceae TEN
Burkea africana,Burkea africana,Burkea africana,Accepted,FALSE,Hook.,Burkea,species,Fabaceae,wfo-0000214110,https://www.legumedata.org/taxonomy/taxon/2687338,The Fabaceae TEN - Legume Taxonomy Working Group
Carissa edulis,Carissa edulis,Carissa spinarum,Accepted,TRUE,L.,Carissa,species,Apocynaceae,wfo-0000803913,,The Apocynaceae TEN
Ochna serrulata,Ochna serrulata,Ochna serrulata,Accepted,FALSE,Walp.,Ochna,species,Ochnaceae,wfo-0001087136,,The Ochnaceae TEN
Pouzolzia mixta,Pouzolzia mixta,Pouzolzia mixta,Accepted,FALSE,Solms,Pouzolzia,species,Urticaceae,wfo-0000472380,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:856187-1,The Urticaceae TEN
