I.D.code,Latitude,Longitude,Elevation,Date,Time,,,,,,
SAP5Z3Q5,-19.68221596,29.31461602,1345.032959,2024-04-18T09:04:05Z,NA,,,,,,
SAP5Z4Q1,-19.68237698,29.31453497,1341.51416,2024-04-18T10:51:56Z,NA,,,,,,
SAP5Z4Q2,-19.68237698,29.31467604,1343.05127,2024-04-18T10:46:30Z,NA,,,,,,
SAP5Z4Q3,-19.68261997,29.31467503,1341.677124,2024-04-18T11:04:46Z,NA,,,,,,
SAP5Z4Q4,-19.68260799,29.31454503,1340.57251,2024-04-18T11:11:13Z,NA,,,,,,
SAP5Z4Q5,-19.68250296,29.31458803,1341.337891,2024-04-18T11:16:12Z,NA,,,,,,
SBP1Z1Q2,-19.71283598,29.32327797,1356.137329,2024-04-05T12:42:30Z,NA,,,,,,
SBP1Z1Q3,-19.71271997,29.32304302,1353.634766,2024-04-05T12:51:31Z,NA,,,,,,
SBP1Z1Q4,-19.71263397,29.32309801,1346.726929,2024-04-05T13:00:53Z,NA,,,,,,
SBP1Z1Q5,-19.71278099,29.32315601,1344.532349,2024-04-05T13:08:55Z,NA,,,,,,
SBP1Z1Q1,-19.71282399,29.32338702,1366.789429,2024-04-05T12:29:51Z,NA,,,,,,
SBP1Z2Q1,-19.71258402,29.32307102,1340.532104,2024-04-05T13:19:46Z,NA,,,,,,
SBP1Z2Q2,-19.71271402,29.32297002,1336.846069,2024-04-05T13:35:40Z,NA,,,,,,
SBP1Z2Q3,-19.71251604,29.32282601,1334.784302,2024-04-05T13:40:32Z,NA,,,,,,
SBP1Z2Q4,-19.71261604,29.32276701,1333.789429,2024-04-05T13:49:29Z,NA,,,,,,
SBP1Z2Q5,-19.71260003,29.32284898,1332.5354,2024-04-05T14:03:09Z,NA,,,,,,
SBP1Z3Q1,-19.71288702,29.32322399,1339.52002,2024-04-06T08:47:16Z,NA,,,,,,
SBP1Z3Q2,-19.71297797,29.32315601,1339.5177,2024-04-06T08:51:18Z,NA,,,,,,
SBP1Z3Q3,-19.71288702,29.32290698,1341.299805,2024-04-06T09:01:19Z,NA,,,,,,
SBP1Z3Q4,-19.71276398,29.32299399,1343.202026,2024-04-06T09:08:16Z,NA,,,,,,
SBP1Z3Q5,-19.71286297,29.32310304,1344.03833,2024-04-06T09:20:42Z,NA,,,,,,
SBP1Z4Q1,-19.71272802,29.32298996,1339.705688,2024-04-07T08:23:37Z,NA,,,,,,
SBP1Z4Q2,-19.71287001,29.32290296,1340.247437,2024-04-07T08:36:57Z,NA,,,,,,
SBP1Z4Q3,-19.71273799,29.32266198,1340.322998,2024-04-07T08:49:45Z,NA,,,,,,
SBP1Z4Q4,-19.71261503,29.32274697,1340.735229,2024-04-07T08:12:02Z,NA,,,,,,
SBP1Z4Q5,-19.71275702,29.322823,1341.013062,2024-04-07T09:04:15Z,NA,,,,,,
SBP2Z1Q1,-19.71224396,29.322536,1335.057251,2026-03-07 T13:12:35Z,NA,,,,,,
SBP2Z1Q2,-19.71231999,29.32246903,1346.673706,2024-04-07T10:56:09Z,NA,,,,,,
SBP2Z1Q3,-19.71218999,29.32226904,1346.789917,2024-04-07T11:04:44Z,NA,,,,,,
SBP2Z1Q4,-19.712092,29.32238203,1346.134521,2024-04-07T11:15:22Z,NA,,,,,,
SBP2Z1Q5,-19.71221496,29.32243902,1345.172241,2024-04-07T11:22:00Z,NA,,,,,,
SBP2Z2Q1,-19.71206903,29.32230097,1340.443604,2024-04-07T13:58:55Z,NA,,,,,,
SBP2Z2Q2,-19.71217398,29.32220399,1341.832886,2024-04-07T14:07:32Z,NA,,,,,,
SBP2Z2Q3,-19.71206199,29.32206603,1341.212036,2024-04-07T14:11:05Z,NA,,,,,,
SBP2Z2Q4,-19.71194901,29.32212202,1339.784912,2024-04-07T14:24:16Z,NA,,,,,,
SBP2Z2Q5,-19.71207297,29.322134,1340.491821,2024-04-07T14:35:11Z,NA,,,,,,
SBP2Z3Q1,-19.71235896,29.32239996,1341.352051,2024-04-13T06:06:50Z,NA,,,,,,
SBP2Z3Q2,-19.71246701,29.32235101,1339.923706,2024-04-13T06:02:01Z,NA,,,,,,
SBP2Z3Q3,-19.71234396,29.32215898,1340.114014,2024-04-13T05:55:15Z,NA,,,,,,
SBP2Z3Q4,-19.71224598,29.32223702,1342.577026,2024-04-13T06:14:49Z,NA,,,,,,
SBP2Z3Q5,-19.71240498,29.32227398,1341.608398,2024-04-13T06:09:50Z,NA,,,,,,
SBP2Z4Q1,-19.71219602,29.32216602,1339.171875,2024-04-13T05:45:17Z,NA,,,,,,
SBP2Z4Q2,-19.71231303,29.32209101,1339.120117,2024-04-13T05:41:22Z,NA,,,,,,
SBP2Z4Q3,-19.71218303,29.321931,1340.222534,2024-04-13T05:35:04Z,NA,,,,,,
SBP2Z4Q4,-19.71206199,29.32199302,1340.613647,2024-04-13T05:31:16Z,NA,,,,,,
SBP2Z4Q5,-19.71217297,29.322047,1339.588013,2024-04-13T05:49:46Z,NA,,,,,,
SBP3Z1Q1,-19.71325035,29.32218683,1337.032,2024-04-13T05:56:13Z,NA,,,,,,
SBP3Z1Q2,-19.71303103,29.32181398,1341.749023,2024-04-13T07:10:10Z,NA,,,,,,
SBP3Z1Q3,-19.71295903,29.32187098,1340.475952,2024-04-13T07:21:21Z,NA,,,,,,
SBP3Z1Q4,-19.71305097,29.32205899,1335.894775,2024-04-13T07:46:01Z,NA,,,,,,
SBP3Z1Q5,-19.71306204,29.32193502,1336.590942,2024-04-13T07:40:53Z,NA,,,,,,
SBP3Z2Q1,-19.71299297,29.32208899,1335.037231,2024-04-13T07:49:53Z,NA,,,,,,
SBP3Z2Q2,-19.71290303,29.32191197,1338.995483,2024-04-13T07:32:06Z,NA,,,,,,
SBP3Z2Q3,-19.71277898,29.32198003,1337.399536,2024-04-13T08:05:17Z,NA,,,,,,
SBP3Z2Q4,-19.712898,29.32216904,1336.534058,2024-04-13T07:53:51Z,NA,,,,,,
SBP3Z2Q5,-19.71288401,29.32203602,1337.565674,2024-04-13T08:13:15Z,NA,,,,,,
SBP3Z3Q1,-19.71301996,29.32174701,1341.770874,2024-04-13T07:14:54Z,NA,,,,,,
SBP3Z3Q2,-19.71289599,29.32156504,1336.263062,2024-04-13T08:29:20Z,NA,,,,,,
SBP3Z3Q3,-19.71277999,29.32162003,1336.420044,2024-04-13T08:34:36Z,NA,,,,,,
SBP3Z3Q4,-19.71290697,29.32182798,1340.753418,2024-04-13T07:23:58Z,NA,,,,,,
SBP3Z3Q5,-19.71290798,29.32169303,1336.334106,2024-04-13T08:37:43Z,NA,,,,,,
SBP3Z4Q1,-19.71286196,29.32186796,1340.123047,2024-04-13T07:28:04Z,NA,,,,,,
SBP3Z4Q2,-19.71274403,29.32165104,1336.855591,2024-04-13T08:41:51Z,NA,,,,,,
SBP3Z4Q3,-19.71264697,29.321701,1337.06189,2024-04-13T08:46:31Z,NA,,,,,,
SBP3Z4Q4,-19.71276004,29.32192898,1337.989502,2024-04-13T08:09:45Z,NA,,,,,,
