I.D_code,Latitude,Longitude,Elevation,Date,Time
SAP4Z4CR0,-19.68151297,29.313016,1344.336304,2024-03-25T09:02:08Z,
SAP4Z4CR3,-19.68206802,29.31337802,1349.005127,2024-04-20T10:00:55Z,
SAP4Z4CR4,-19.68205101,29.31320401,1349.212158,2024-04-20T10:03:12Z,
SAP4Z4Q1,-19.681906,29.31324902,1348.403442,2024-04-20T09:45:43Z,
SAP4Z4Q2,-19.681848,29.313332,1348.437988,2024-04-20T09:52:05Z,
SAP4Z4Q3,-19.68202,29.31335899,1348.540527,2024-04-20T10:02:12Z,
SAP4Z4Q4,-19.68202201,29.31323402,1349.693115,2024-04-20T10:03:41Z,
SAP4Z4Q5,-19.68195202,29.31330702,1348.590576,2024-04-20T09:58:57Z,
SAP4ZCENTER,-19.68185102,29.313231,1347.743164,2024-04-20T09:39:43Z,
SAP5Z1,-19.68208303,29.31432702,1343.058716,2024-03-25T10:18:43Z,
SAP5Z1CR3,-19.68235502,29.31450698,1343.020874,2024-04-18T08:30:31Z,
SAP5Z1CR1,-19.68205998,29.31433104,1339.867432,2024-04-18T08:16:24Z,
SAP5Z1CR2,-19.68207196,29.31450002,1340.403687,2024-04-18T08:04:49Z,
SAP5Z1CR4,-19.68233398,29.31430497,1341.228271,2024-04-18T08:22:22Z,
SAP5Z1Q1,-19.68210398,29.31434898,1340.372559,2024-04-18T08:19:50Z,
SAP5Z1Q2,-19.68209602,29.31446498,1339.897949,2024-04-18T08:08:54Z,
SAP5Z1Q3,-19.68229702,29.31449097,1342.774536,2024-04-18T08:36:27Z,
SAP5Z1Q4,-19.68230297,29.31434504,1341.61084,2024-04-18T08:23:34Z,
SAP5Z1Q5,-19.68220498,29.31443699,1343.873535,2024-04-18T08:44:00Z,
SAP5Z2CR1,-19.682352,29.314296,1339.790771,2024-04-18T11:44:59Z,
SAP5Z2CR4,-19.68260396,29.31424798,1339.525635,2024-04-18T11:30:06Z,
SAP5Z2Q1,-19.68238503,29.31429399,1339.385254,2024-04-18T11:45:57Z,
SAP5Z2Q2,-19.68238302,29.31447898,1340.993652,2024-04-18T10:56:12Z,
SAP5Z2Q3,-19.68259198,29.31446004,1340.073242,2024-04-18T11:24:10Z,
SAP5Z2Q4,-19.68257999,29.31429701,1339.269897,2024-04-18T11:31:34Z,
SAP5Z2Q5,-19.68250598,29.31434898,1338.536011,2024-04-18T11:39:11Z,
SAP5Z3CR0,-19.68233298,29.31431402,1343.80188,2024-03-25T10:25:31Z,
SAP5Z3CR2,-19.68208102,29.31473496,1345.634644,2024-04-18T08:54:45Z,
SAP5Z3CR3,-19.682351,29.31473798,1344.46106,2024-04-18T08:49:12Z,
SAP5Z3Q1,-19.68210298,29.31455299,1340.366333,2024-04-18T08:12:13Z,
SAP5Z3Q2,-19.68209996,29.31467797,1344.994629,2024-04-18T08:56:26Z,
SAP5Z3Q3,-19.68232702,29.31469699,1344.543457,2024-04-18T08:50:02Z,
SAP5Z3Q4,-19.68232803,29.31453698,1343.740601,2024-04-18T08:38:08Z,
SAP5Z3Q5,-19.68221596,29.31461602,1345.032959,2024-04-18T09:04:05Z,
SAP5Z4CR0,-19.68263104,29.31431998,1344.317871,2024-03-25T10:30:26Z,
SAP5Z4CR2,-19.68236399,29.314726,1343.942383,2024-04-18T10:42:11Z,
SAP5Z4CR3,-19.68264,29.31470898,1342.421387,2024-04-18T11:03:06Z,
SAP5Z4CR4,-19.68261796,29.31451804,1341.061157,2024-04-18T11:10:07Z,
SAP5Z4Q1,-19.68237698,29.31453497,1341.51416,2024-04-18T10:51:56Z,
SAP5Z4Q2,-19.68237698,29.31467604,1343.05127,2024-04-18T10:46:30Z,
SAP5Z4Q3,-19.68261997,29.31467503,1341.677124,2024-04-18T11:04:46Z,
SAP5Z4Q4,-19.68260799,29.31454503,1340.57251,2024-04-18T11:11:13Z,
SAP5Z4Q5,-19.68250296,29.31458803,1341.337891,2024-04-18T11:16:12Z,
SAP5ZCENTER,-19.68234999,29.31450597,1343.178589,2024-04-18T08:37:19Z,
SAP3Z3CR1,-19.68155002,29.31384799,1334.704346,2024-04-19T12:55:08Z,
SBP1Z1Q2,-19.71283598,29.32327797,1356.137329,2024-04-05T12:42:30Z,
SBP1Z1Q3,-19.71271997,29.32304302,1353.634766,2024-04-05T12:51:31Z,
SBP1Z1Q4,-19.71263397,29.32309801,1346.726929,2024-04-05T13:00:53Z,
SBP1Z1Q5,-19.71278099,29.32315601,1344.532349,2024-04-05T13:08:55Z,
SBP1Z1CR0,-19.71292298,29.32288896,1329.368286,2024-03-26T12:59:49Z,
SBP1Z1CR0,-19.71271603,29.323342,1326.446289,2024-03-26T12:43:47Z,
SBP1Z1CR0,-19.71261696,29.32313204,1327.370361,2024-03-26T12:46:11Z,
SBP1Z1Q1,-19.71282399,29.32338702,1366.789429,2024-04-05T12:29:51Z,
SBP1Z2CR0,-19.71275702,29.32265997,1329.215332,2024-03-26T12:56:42Z,
SBP1Z2CR2,-19.661383,29.26982598,1319.172363,2024-03-21T10:36:13Z,
SBP1Z2CR4,-19.71262098,29.32275401,1332.604248,2024-04-05T13:58:18Z,
SBP1Z2Q1,-19.71258402,29.32307102,1340.532104,2024-04-05T13:19:46Z,
SBP1Z2Q2,-19.71271402,29.32297002,1336.846069,2024-04-05T13:35:40Z,
SBP1Z2Q3,-19.71251604,29.32282601,1334.784302,2024-04-05T13:40:32Z,
SBP1Z2Q4,-19.71261604,29.32276701,1333.789429,2024-04-05T13:49:29Z,
SBP1Z2Q5,-19.71260003,29.32284898,1332.5354,2024-04-05T14:03:09Z,
SBP1Z3CR0,-19.71248201,29.32289902,1328.049927,2024-03-26T12:48:24Z,
SBP1Z3CR3,-19.712883,29.32288704,1349.573486,2024-10-23T12:59:54Z,
SBP1Z3Q1,-19.71288702,29.32322399,1339.52002,2024-04-06T08:47:16Z,
SBP1Z3Q2,-19.71297797,29.32315601,1339.5177,2024-04-06T08:51:18Z,
SBP1Z3Q3,-19.71288702,29.32290698,1341.299805,2024-04-06T09:01:19Z,
SBP1Z3Q4,-19.71276398,29.32299399,1343.202026,2024-04-06T09:08:16Z,
SBP1Z3Q5,-19.71286297,29.32310304,1344.03833,2024-04-06T09:20:42Z,
SBP1Z4CR0,-19.71307696,29.32320303,1330.612549,2024-03-26T13:06:25Z,
SBP1Z4CR0,-19.712869,29.32323203,1346.857056,2024-04-05T07:08:29Z,
SBP1Z4Q1,-19.71272802,29.32298996,1339.705688,2024-04-07T08:23:37Z,
SBP1Z4Q2,-19.71287001,29.32290296,1340.247437,2024-04-07T08:36:57Z,
SBP1Z4Q3,-19.71273799,29.32266198,1340.322998,2024-04-07T08:49:45Z,
SBP1Z4Q4,-19.71261503,29.32274697,1340.735229,2024-04-07T08:12:02Z,
SBP1Z4Q5,-19.71275702,29.322823,1341.013062,2024-04-07T09:04:15Z,
SBP2Z1CR0,-19.71223399,29.32258998,1331.962524,2024-03-26T13:25:02Z,
SBP2Z1CR2,-19.71220499,29.322233,1347.056519,2024-04-07T11:05:58Z,
SBP2Z1CR3,-19.71220499,29.32221103,1338.937988,2024-04-07T13:45:28Z,
SBP2Z1CR0,-19.71222502,29.32254103,1348.169922,2024-10-23T08:04:50Z,
SBP2Z1Q1,-19.712221,29.32251899,1339.248291,2025-04-17T06:09:24Z,
SBP2Z1Q2,-19.71231999,29.32246903,1346.673706,2024-04-07T10:56:09Z,
SBP2Z1Q3,-19.71218999,29.32226904,1346.789917,2024-04-07T11:04:44Z,
SBP2Z1Q4,-19.712092,29.32238203,1346.134521,2024-04-07T11:15:22Z,
SBP2Z1Q5,-19.71221496,29.32243902,1345.172241,2024-04-07T11:22:00Z,
SBP2Z2CR0,-19.71210097,29.32235403,1331.942017,2024-03-26T13:26:53Z,
SBP2Z2CR4,-19.712048,29.32199897,1337.653931,2024-04-07T13:37:12Z,
SBP2Z2Q1,-19.71206903,29.32230097,1340.443604,2024-04-07T13:58:55Z,
SBP2Z2Q2,-19.71217398,29.32220399,1341.832886,2024-04-07T14:07:32Z,
SBP2Z2Q3,-19.71206199,29.32206603,1341.212036,2024-04-07T14:11:05Z,
SBP2Z2Q4,-19.71194901,29.32212202,1339.784912,2024-04-07T14:24:16Z,
SBP2Z2Q5,-19.71207297,29.322134,1340.491821,2024-04-07T14:35:11Z,
SBP2Z3CR0,-19.71239702,29.32212302,1333.312378,2024-03-26T13:36:42Z,
SBP2Z3CR1,-19.71235997,29.32245503,1341.624512,2024-04-13T06:06:13Z,
SBP2Z3CR2,-19.71253599,29.32236501,1296.68335,2024-11-16T12:15:40Z,
SBP2Z3Q1,-19.71235896,29.32239996,1341.352051,2024-04-13T06:06:50Z,
SBP2Z3Q2,-19.71246701,29.32235101,1339.923706,2024-04-13T06:02:01Z,
