Site,Plot,Subplot,Quadrat,Spp_name,Rank_dominant_grass,Grazing_value,DPM_Height,Grazing_activity,Quadrat_under_canopy,Dung_presence
A,3,Z4,Q2,Melinis repens,1,Low,9.7,NA,NA,NA
A,3,Z4,Q2,Digitaria eriantha,3,High,11.6,NA,NA,NA
A,3,Z4,Q2,Setaria incrassata,NA,High,10.6,NA,NA,NA
A,3,Z4,Q3,Heteropogon contortus,2,Moderate,6,N,N,N
A,3,Z4,Q3,Urochloa mosambicensis,1,Moderate,10.9,NA,NA,NA
A,3,Z4,Q3,Themeda triandra,3,High,11.4,NA,NA,NA
A,3,Z4,Q3,NA,NA,NA,13.2,NA,NA,NA
A,3,Z4,Q4,Urochloa mosambicensis,1,Moderate,NA,N,Y,N
A,3,Z4,Q4,Melinis repens,2,Low,NA,NA,NA,NA
A,3,Z4,Q4,Cymbopogon excavatus,3,Low,NA,NA,NA,NA
A,3,Z4,Q4,NA,NA,NA,NA,NA,NA,NA
A,3,Z4,Q5,Heteropogon contortus,NA,Moderate,6.4,N,N,N
A,3,Z4,Q5,Aristida adscensionis,3,Low,18,NA,NA,NA
A,3,Z4,Q5,Urochloa mosambicensis,1,Moderate,21,NA,NA,NA
A,3,Z4,Q5,Hyperrhenia filipendula,2,Moderate,23.8,NA,NA,NA
A,3,Z4,Q5,Pogonarthria squarrosa,NA,Low,NA,NA,NA,NA
A,4,Z1,Q1,Bothriochloa insculpta,1,Moderate,19.7,N,Y,N
A,4,Z1,Q1,NA,NA,NA,22.4,NA,NA,NA
A,4,Z1,Q1,NA,NA,NA,22.6,NA,NA,NA
A,4,Z1,Q1,NA,NA,NA,25,NA,NA,NA
A,4,Z1,Q2,Brachiaria serrata,2,Moderate,21,N,N,N
A,4,Z1,Q2,Eragrostis gummiflua,3,Low,20.5,NA,NA,NA
A,4,Z1,Q2,Bothriochloa insculpta,1,Moderate,20.4,NA,NA,NA
A,4,Z1,Q2,NA,NA,NA,20.5,NA,NA,NA
A,4,Z1,Q3,Heteropogon contortus,1,Moderate,22.5,N,Y,N
A,4,Z1,Q3,Themeda triandra,2,High,22.5,NA,NA,NA
A,4,Z1,Q3,NA,NA,NA,22.5,NA,NA,NA
A,4,Z1,Q3,NA,NA,NA,22.5,NA,NA,NA
A,4,Z1,Q4,Bothriochloa insculpta,1,Moderate,24.1,N,N,N
A,4,Z1,Q4,Cymbopogon excavatus,2,Low,NA,NA,NA,NA
A,4,Z1,Q4,NA,NA,NA,NA,NA,NA,NA
A,4,Z1,Q4,NA,NA,NA,NA,NA,NA,NA
A,4,Z1,Q5,Bothriochloa insculpta,1,Moderate,NA,N,Y,N
A,4,Z1,Q5,Urochloa mosambicensis,2,Moderate,NA,NA,NA,NA
A,4,Z1,Q5,NA,NA,NA,NA,NA,NA,NA
A,4,Z1,Q5,NA,NA,NA,NA,NA,NA,NA
A,4,Z2,Q1,Bothriochloa insculpta,1,Moderate,20.5,N,Y,N
A,4,Z2,Q1,Digitaria eriantha,2,High,21.7,NA,NA,NA
A,4,Z2,Q1,NA,NA,NA,22,NA,NA,NA
A,4,Z1,Q1,NA,NA,NA,21.4,NA,NA,NA
A,4,Z2,Q2,Aristida adscensionis,NA,Low,18.7,N,Y,N
A,4,Z2,Q2,Cymbopogon excavatus,3,Low,19.2,NA,NA,NA
A,4,Z2,Q2,Heteropogon contortus,1,Moderate,18.9,NA,NA,NA
A,4,Z2,Q2,Digitaria eriantha,2,High,18.5,NA,NA,NA
A,4,Z2,Q3,Aristida adscensionis,1,Low,20.5,N,Y,N
A,4,Z2,Q3,Heteropogon contortus,2,Moderate,20.7,NA,NA,NA
A,4,Z2,Q3,NA,NA,NA,20.5,NA,NA,NA
A,4,Z2,Q3,NA,NA,NA,21.4,NA,NA,NA
A,4,Z2,Q4,Cymbopogon excavatus,1,Low,NA,N,Y,N
A,4,Z2,Q4,Heteropogon contortus,2,Moderate,NA,NA,NA,NA
A,4,Z2,Q4,Andropogon eucomus,3,Low,NA,NA,NA,NA
A,4,Z2,Q4,NA,NA,NA,NA,NA,NA,NA
A,4,Z2,Q5,Aristida adscensionis,2,Low,23,N,Y,N
A,4,Z2,Q5,Themeda triandra,1,High,23.1,NA,NA,NA
A,4,Z2,Q5,NA,NA,NA,21.7,NA,NA,NA
A,4,Z2,Q5,NA,NA,NA,21.1,NA,NA,NA
A,4,Z3,Q1,Loudetia simplex,2,Low,20.2,N,N,N
A,4,Z3,Q1,Bothriochloa insculpta,1,Moderate,20.1,NA,NA,NA
A,4,Z3,Q1,NA,NA,NA,20.1,NA,NA,NA
A,4,Z3,Q1,NA,NA,NA,20.4,NA,NA,NA
A,4,Z3,Q2,Bothriochloa insculpta,1,Moderate,20.2,N,N,N
A,4,Z3,Q2,Aristida adscensionis,2,Low,20.3,NA,NA,NA
A,4,Z3,Q2,NA,NA,NA,20.6,NA,NA,NA
A,4,Z3,Q2,NA,NA,NA,20,NA,NA,NA
A,4,Z3,Q3,Bothriochloa insculpta,1,Moderate,12.7,N,Y,N
A,4,Z3,Q3,Andropogon eucomus,2,Low,17.2,NA,NA,NA
A,4,Z3,Q3,NA,NA,NA,16.1,NA,NA,NA
A,4,Z3,Q3,NA,NA,NA,17.3,NA,NA,NA
A,4,Z3,Q4,Urochloa mosambicensis,3,Moderate,3.7,N,Y,N
A,4,Z3,Q4,Digitaria eriantha,1,High,9.5,NA,NA,NA
A,4,Z3,Q4,Andropogon eucomus,NA,Low,13,NA,NA,NA
A,4,Z3,Q4,Bothriochloa insculpta,2,Moderate,11.4,NA,NA,NA
A,4,Z3,Q5,Bothriochloa insculpta,1,Moderate,19.6,N,N,N
A,4,Z3,Q5,Aristida adscensionis,2,Low,20,NA,NA,NA
A,4,Z3,Q5,NA,NA,NA,20.1,NA,NA,NA
A,4,Z3,Q5,NA,NA,NA,20.1,NA,NA,NA
A,4,Z4,Q1,Bothriochloa insculpta,1,Moderate,18.3,N,Y,N
A,4,Z4,Q1,Heteropogon contortus,2,Moderate,18.9,NA,NA,NA
A,4,Z4,Q1,Melinis repens,3,Low,19,NA,NA,NA
A,4,Z4,Q1,NA,NA,NA,18.9,NA,NA,NA
A,4,Z4,Q2,Andropogon eucomus,3,Low,17.9,N,Y,N
A,4,Z4,Q2,Urochloa mosambicensis,1,Moderate,19.1,NA,NA,NA
A,4,Z4,Q2,Cymbopogon excavatus,2,Low,19.4,NA,NA,NA
A,4,Z4,Q2,NA,NA,NA,19.4,NA,NA,NA
A,4,Z4,Q3,Heteropogon contortus,1,Moderate,23,N,N,N
A,4,Z4,Q3,Themeda triandra,3,High,22.2,NA,NA,NA
A,4,Z4,Q3,Eragrostis superba,2,Moderate,21.3,NA,NA,NA
A,4,Z4,Q3,NA,NA,NA,20.8,NA,NA,NA
A,4,Z4,Q4,Bothriochloa insculpta,1,Moderate,19.9,N,N,N
A,4,Z4,Q4,Heteropogon contortus,2,Moderate,19.9,NA,NA,NA
A,4,Z4,Q4,Digitaria eriantha,3,High,19.5,NA,NA,NA
A,4,Z4,Q4,NA,NA,NA,19.2,NA,NA,NA
A,4,Z4,Q5,Heteropogon contortus,1,Moderate,25.7,N,N,N
A,4,Z4,Q5,Themeda triandra,2,High,17.1,NA,NA,NA
A,4,Z4,Q5,Eragrostis superba,NA,Moderate,17.8,NA,NA,NA
A,4,Z4,Q5,Digitaria eriantha,3,High,22.1,NA,NA,NA
A,5,Z1,Q1,Hyperrhenia hirta,NA,Moderate,12.1,N,N,N
A,5,Z1,Q1,Urochloa mosambicensis,2,Moderate,13.8,NA,NA,NA
A,5,Z1,Q1,Hyperrhenia filipendula,3,Moderate,13.7,NA,NA,NA
A,5,Z1,Q1,Bothriochloa insculpta,NA,Moderate,14.2,NA,NA,NA
A,5,Z1,Q1,Heteropogon contortus,1,Moderate,NA,NA,NA,NA
A,5,Z1,Q1,Aristida adscensionis,NA,Low,NA,NA,NA,NA
A,5,Z1,Q2,Urochloa mosambicensis,2,Moderate,25.6,N,Y,N
A,5,Z1,Q2,Aristida adscensionis,1,Low,20.8,NA,NA,NA
A,5,Z1,Q2,NA,NA,NA,22.3,NA,NA,NA
