Site,Spp_name
D,Heteropogon contortus
D,Eragrostis rigidior
D,Heteropogon contortus
D,Brachiaria nigropedata
D,Chloris virgata
D,Eragrostis rigidior
D,Sporobolus ioclados
D,Chloris virgata
D,Aristida adscensionis
D,Eragrostis rigidior
D,Sporobolus ioclados
D,Chloris virgata
D,Brachiaria nigropedata
D,Enteropogon macrostachyus
D,Aristida adscensionis
D,Digitaria eriantha
D,Heteropogon contortus
D,Themeda triandra
D,Aristida diffusa
D,Chloris virgata
D,Aristida adscensionis
D,Panicum maximum
D,Heteropogon contortus
D,Aristida adscensionis
D,Digitaria eriantha
D,Aristida diffusa
D,Aristida adscensionis
D,Heteropogon contortus
D,Setaria pumila 
D,Enteropogon macrostachyus
D,Andropogon eucomus
D,Aristida adscensionis
D,Andropogon eucomus
D,Heteropogon contortus
D,Eragrostis rigidior
D,Chloris virgata
D,Chloris virgata
D,Eragrostis rigidior
D,Brachiaria nigropedata
D,Panicum maximum
D,Andropogon eucomus
D,Enteropogon macrostachyus
D,Heteropogon contortus
D,Aristida adscensionis
D,Enteropogon macrostachyus
D,Brachiaria nigropedata
D,Heteropogon contortus
D,Aristida adscensionis
D,Enteropogon macrostachyus
D,Eragrostis rigidior
D,Chloris virgata
D,Setaria incrassata
D,Heteropogon contortus
D,Aristida adscensionis
D,Aristida diffusa
D,Enteropogon macrostachyus
D,Aristida adscensionis
D,Panicum maximum
D,Brachiaria nigropedata
D,Eragrostis rigidior
D,Chloris virgata
D,Heteropogon contortus
D,Brachiaria nigropedata
D,Enteropogon macrostachyus
D,Brachiaria nigropedata
D,Heteropogon contortus
D,Andropogon eucomus
D,Aristida adscensionis
D,Eragrostis rigidior
D,Eragrostis gummiflua
D,Heteropogon contortus
D,Andropogon eucomus
D,Eragrostis rigidior
D,Andropogon eucomus
D,Setaria incrassata
D,Heteropogon contortus
D,Enteropogon macrostachyus
D,Heteropogon contortus
D,Enteropogon macrostachyus
D,Panicum maximum
D,Heteropogon contortus
D,Andropogon eucomus
D,Heteropogon contortus
D,Aristida adscensionis
D,Heteropogon contortus
D,Aristida adscensionis
D,Chloris virgata
D,Panicum maximum
D,Heteropogon contortus
D,Heteropogon contortus
D,Chloris virgata
D,Heteropogon contortus
D,Chloris virgata
D,Sporobolus ioclados
D,Aristida adscensionis
D,Heteropogon contortus
D,Setaria incrassata
D,Heteropogon contortus
D,Aristida adscensionis
D,Chloris virgata
D,Brachiaria nigropedata
D,Aristida diffusa
D,Enteropogon macrostachyus
D,Heteropogon contortus
D,Setaria incrassata
D,Andropogon eucomus
D,Heteropogon contortus
D,Heteropogon contortus
D,Enteropogon macrostachyus
D,Panicum maximum
D,Enteropogon macrostachyus
D,Aristida adscensionis
D,Heteropogon contortus
D,Chloris virgata
D,Enteropogon macrostachyus
D,Aristida adscensionis
D,Heteropogon contortus
D,Aristida diffusa
D,Aristida diffusa
D,Heteropogon contortus
D,Aristida adscensionis
D,Andropogon eucomus
