Site,Spp_name,Max_Height,Stem_count
A,Combretum Apiculatum,0.6,1
A,Fluegga Virosa,2.5,4
A,Euclea Divinorum,0.6,1
A,Dichrostachys Cinerea,0.4,1
A,Fluegga Virosa,0.4,1
A,Dichrostachys Cinerea,1.4,2
A,Combretum Hereroense,2,1
A,Terminalia Sericea,2,2
A,Dichrostachys Cinerea,2,6
A,Combretum Hereroense,3.2,2
A,Warburgia Salutaris,1.8,1
A,Allophylus Africanus,1.8,3
A,Dichrostachys Cinerea,2.5,4
A,Warburgia Salutaris,2.3,5
A,Grewia Monticola,1.5,4
A,Carissa Bispinosa,1.8,1
A,Fluegga Virosa,1.2,2
A,Carissa Bispinosa,1.1,1
A,Ziziphus Mucronata,1.5,4
A,Combretum Hereroense,2,2
A,Diplorhynchus Condylocarpon,0.7,3
A,Gymnosporia Senegalensis,2.5,2
A,Lannea Discolor,1.3,3
A,Allophylus Africanus,1.3,3
A,Combretum Imberbe,4,1
A,Fluegga Virosa,2,4
A,Vachellia Gerrardii,0.3,2
A,Berchemia Zeyheri,1.8,1
A,Ziziphus Mucronata,2.2,4
A,Bolusanthus Speciosus,2.4,5
A,Warburgia Salutaris,2.8,2
A,Dichrostachys Cinerea,1.1,2
A,Allophylus Africanus,1,1
A,Grewia Monticola,1.8,1
A,Ziziphus Mucronata,1.8,3
A,Dichrostachys Cinerea,1.9,3
A,Warburgia Salutaris,1.7,4
A,Combretum Hereroense,5,10
A,Dichrostachys Cinerea,2.7,1
A,Carissa Bispinosa,1,4
A,Diospyros Lycioides,1.3,4
A,Berchemia Zeyheri,1.2,3
A,Vachellia Gerrardii,0.4,2
A,Warburgia Salutaris,1.1,1
A,Combretum Hereroense,1.8,1
A,Combretum Hereroense,2.1,2
A,Combretum Hereroense,1.8,2
A,Combretum Apiculatum,1,1
A,Bolusanthus Speciosus,1,4
A,Ziziphus Mucronata,0.4,1
A,Peltophorum Africanum,1.9,2
A,Vachellia Gerrardii,0.4,1
A,Allophylus Africanus,2.2,4
A,Dichrostachys Cinerea,2.1,4
A,Vachellia Nilotica,1.1,2
A,Bolusanthus Speciosus,2.5,5
A,Carissa Bispinosa,1.1,2
A,Rhus Longipes,1.1,4
A,Combretum Hereroense,0.5,1
A,Combretum Hereroense,0.7,2
A,Bolusanthus Speciosus,1.8,3
A,Allophylus Africanus,1.5,1
A,Warburgia Salutaris,1.6,2
A,Combretum Hereroense,1.6,1
A,Combretum Apiculatum,0.4,1
A,Bolusanthus Speciosus,1.8,1
A,Grewia Monticola,1.2,3
A,Gymnosporia Senegalensis,1.4,2
A,Warburgia Salutaris,1.3,2
A,Carissa Bispinosa,1.7,1
A,Bolusanthus Speciosus,1.5,1
A,Allophylus Africanus,1.2,5
A,Peltophorum Africanum,0.4,2
A,Dovyalis Caffra,1,1
A,Ziziphus Mucronata,1.2,2
A,Diplorhynchus Condylocarpon,1,3
A,Peltophorum Africanum,1.9,4
A,Carissa Bispinosa,1.7,4
