I.D code,Latitude,Longitude,Elevation,Date,Time
B2Z1,-19.71223399,29.32258998,1331.962524,2024-03-26T13:25:02Z,
B2Z13,-19.71220499,29.322233,1347.056519,2024-04-07T11:05:58Z,
B2Z1CR3,-19.71220499,29.32221103,1338.937988,2024-04-07T13:45:28Z,
B2Z1Q2,-19.71231999,29.32246903,1346.673706,2024-04-07T10:56:09Z,
B2Z1Q3,-19.71218999,29.32226904,1346.789917,2024-04-07T11:04:44Z,
B2Z1Q4,-19.712092,29.32238203,1346.134521,2024-04-07T11:15:22Z,
B2Z1Q5,-19.71221496,29.32243902,1345.172241,2024-04-07T11:22:00Z,
B2Z2,-19.71210097,29.32235403,1331.942017,2024-03-26T13:26:53Z,
B2Z2CR4,-19.712048,29.32199897,1337.653931,2024-04-07T13:37:12Z,
B2Z2Q1,-19.71206903,29.32230097,1340.443604,2024-04-07T13:58:55Z,
B2Z2Q2,-19.71217398,29.32220399,1341.832886,2024-04-07T14:07:32Z,
B2Z2Q3,-19.71206199,29.32206603,1341.212036,2024-04-07T14:11:05Z,
B2Z2Q4,-19.71194901,29.32212202,1339.784912,2024-04-07T14:24:16Z,
B2Z2Q5,-19.71207297,29.322134,1340.491821,2024-04-07T14:35:11Z,
B2Z3,-19.71239702,29.32212302,1333.312378,2024-03-26T13:36:42Z,
B2Z3CR1,-19.71235997,29.32245503,1341.624512,2024-04-13T06:06:13Z,
B2Z3CR2,-19.71252903,29.32235403,1340.651611,2024-04-13T06:01:07Z,
B2Z3Q1,-19.71235896,29.32239996,1341.352051,2024-04-13T06:06:50Z,
B2Z3Q2,-19.71246701,29.32235101,1339.923706,2024-04-13T06:02:01Z,
B2Z3Q3,-19.71234396,29.32215898,1340.114014,2024-04-13T05:55:15Z,
B2Z3Q4,-19.71224598,29.32223702,1342.577026,2024-04-13T06:14:49Z,
B2Z3Q5,-19.71240498,29.32227398,1341.608398,2024-04-13T06:09:50Z,
B2Z4,-19.71252803,29.32242603,1333.733887,2024-03-26T13:44:11Z,
B2Z4CR2,-19.71234103,29.32209997,1339.612427,2024-04-13T05:40:09Z,
B2Z4CR3N,-19.71217297,29.321888,1340.180542,2024-04-13T05:36:28Z,
B2Z4Q1,-19.71219602,29.32216602,1339.171875,2024-04-13T05:45:17Z,
B2Z4Q2,-19.71231303,29.32209101,1339.120117,2024-04-13T05:41:22Z,
B2Z4Q3,-19.71218303,29.321931,1340.222534,2024-04-13T05:35:04Z,
B2Z4Q4,-19.71206199,29.32199302,1340.613647,2024-04-13T05:31:16Z,
B2Z4Q5,-19.71217297,29.322047,1339.588013,2024-04-13T05:49:46Z,
B2ZOO,-19.71191296,29.32213099,1332.983154,2024-03-26T13:29:16Z,
B2ZOOO,-19.71223701,29.32188598,1333.345825,2024-03-26T13:33:41Z,
B3Z1,-19.71288803,29.322219,1334.21228,2024-03-26T13:51:30Z,
B3Z1CR1,-19.71321099,29.32202697,1342.009644,2024-04-13T07:12:49Z,
B3Z1CR2,-19.71304704,29.32177803,1341.851196,2024-04-13T07:11:24Z,
B3Z1CR3,-19.712912,29.32186503,1341.394165,2024-04-13T07:20:02Z,
B3Z1CR4,-19.71306204,29.32212001,1336.290039,2024-04-13T07:46:49Z,
B3Z1Q2,-19.71303103,29.32181398,1341.749023,2024-04-13T07:10:10Z,
B3Z1Q3,-19.71295903,29.32187098,1340.475952,2024-04-13T07:21:21Z,
B3Z1Q4,-19.71305097,29.32205899,1335.894775,2024-04-13T07:46:01Z,
B3Z1Q5,-19.71306204,29.32193502,1336.590942,2024-04-13T07:40:53Z,
B3Z2,-19.71263699,29.32171399,1333.240112,2024-03-26T14:11:32Z,
B3Z2CR3,-19.71274202,29.32196201,1338.176514,2024-04-13T08:07:46Z,
B3Z2CR4,-19.71288904,29.32220399,1336.88147,2024-04-13T07:52:51Z,
B3Z2Q1,-19.71299297,29.32208899,1335.037231,2024-04-13T07:49:53Z,
B3Z2Q2,-19.71290303,29.32191197,1338.995483,2024-04-13T07:32:06Z,
B3Z2Q3,-19.71277898,29.32198003,1337.399536,2024-04-13T08:05:17Z,
B3Z2Q4,-19.712898,29.32216904,1336.534058,2024-04-13T07:53:51Z,
B3Z2Q5,-19.71288401,29.32203602,1337.565674,2024-04-13T08:13:15Z,
B3Z3CR2,-19.71289599,29.32151601,1336.292358,2024-04-13T08:28:41Z,
B3Z3CR3,-19.71274202,29.321616,1336.545166,2024-04-13T08:33:47Z,
B3Z3CR31,-19.71256499,29.32061302,1333.462158,2024-04-13T13:36:06Z,
B3Z3Q1,-19.71301996,29.32174701,1341.770874,2024-04-13T07:14:54Z,
B3Z3Q2,-19.71289599,29.32156504,1336.263062,2024-04-13T08:29:20Z,
B3Z3Q3,-19.71277999,29.32162003,1336.420044,2024-04-13T08:34:36Z,
B3Z3Q4,-19.71290697,29.32182798,1340.753418,2024-04-13T07:23:58Z,
B3Z3Q5,-19.71290798,29.32169303,1336.334106,2024-04-13T08:37:43Z,
B3Z4,-19.71321903,29.32201398,1333.68811,2024-03-26T13:55:15Z,
B3Z43,-19.71290899,29.32151098,1332.721436,2024-03-26T14:08:56Z,
B3Z4CR3,-19.71260397,29.321702,1337.332764,2024-04-13T08:45:46Z,
B3Z4Q1,-19.71286196,29.32186796,1340.123047,2024-04-13T07:28:04Z,
B3Z4Q2,-19.71274403,29.32165104,1336.855591,2024-04-13T08:41:51Z,
B3Z4Q3,-19.71264697,29.321701,1337.06189,2024-04-13T08:46:31Z,
B3Z4Q4,-19.71276004,29.32192898,1337.989502,2024-04-13T08:09:45Z,
B3Z4Q5,-19.71275099,29.32176998,1338.243774,2024-04-13T08:51:31Z,
B3Z4Q5N,-19.71272701,29.32179202,1339.449219,2024-04-13T08:54:39Z,
B3ZO,-19.71277596,29.32200199,1333.643555,2024-03-26T13:57:15Z,
B3ZOOO,-19.713069,29.32175699,1332.493774,2024-03-26T14:03:44Z,
B4Z1,-19.71252199,29.32128198,1338.651367,2024-03-27T12:53:26Z,
B4Z1CR1,-19.71279499,29.32116003,1344.035889,2024-04-13T09:38:51Z,
B4Z1CR11,-19.71276197,29.320796,1332.542236,2024-04-13T13:19:45Z,
B4Z1CR2,-19.71273799,29.32086599,1345.117676,2024-04-13T09:45:47Z,
B4Z1CR3,-19.71256902,29.32095501,1346.829346,2024-04-13T09:50:43Z,
B4Z1CR4,-19.71261696,29.32125198,1346.699219,2024-04-13T09:54:59Z,
B4Z1Q1,-19.71276004,29.32115701,1343.336182,2024-04-13T09:40:02Z,
B4Z1Q11,-19.712724,29.32081101,1332.517456,2024-04-13T13:20:39Z,
B4Z1Q2,-19.71273699,29.32090497,1344.907837,2024-04-13T09:46:16Z,
B4Z1Q3,-19.712609,29.32097697,1346.410645,2024-04-13T09:53:13Z,
B4Z1Q4N,-19.71264797,29.32120303,1346.648315,2024-04-13T10:01:41Z,
B4Z1Q5,-19.71265904,29.32104503,1346.598389,2024-04-13T10:02:37Z,
B4Z2,-19.71247598,29.32097596,1338.364868,2024-03-27T12:55:17Z,
B4Z2CR3,-19.71247799,29.320982,1339.15686,2024-04-13T12:28:51Z,
B4Z2CR4,-19.71250297,29.32128098,1340.210449,2024-04-13T12:07:43Z,
B4Z2Q1,-19.712639,29.32120596,1340.517456,2024-04-13T12:06:15Z,
B4Z2Q2,-19.71258502,29.320969,1339.143799,2024-04-13T12:18:19Z,
B4Z2Q3,-19.71249299,29.321011,1338.09729,2024-04-13T12:33:15Z,
B4Z2Q4,-19.712524,29.32126103,1340.208984,2024-04-13T12:08:25Z,
B4Z2Q5,-19.71257304,29.321097,1338.55896,2024-04-13T12:35:38Z,
B4Z3,-19.71239098,29.320695,1338.85144,2024-03-27T12:57:59Z,
