Year,Site,Plot,Subplot,Spp_name,Grazing_value,DPM_Height,Biomass,Treatment
2024,A,5,Z3,,,22.3,5280,THF
2024,A,5,Z3,Bothriochloa insculpta,Moderate,36.3,6736,THF
2024,A,5,Z3,Heteropogon contortus,Moderate,34.5,6627,THF
2024,A,5,Z3,Eragrostis gummiflua,Low,34.2,6607,THF
2024,A,5,Z3,Andropogon eucomus,Low,34.5,6627,THF
2024,A,5,Z3,Aristida adscensionis,Low,20.4,4973,THF
2024,A,5,Z3,Bothriochloa insculpta,Moderate,17.1,4404,THF
2024,A,5,Z3,,,19.3,4789,THF
2024,A,5,Z3,,,18.6,4669,THF
2024,A,5,Z3,Bothriochloa insculpta,Moderate,17.1,4404,THF
2024,A,5,Z3,Aristida adscensionis,Low,17,4386,THF
2024,A,5,Z3,Cymbopogon excavatus,Low,20.2,4940,THF
2024,A,5,Z3,Eragrostis superba,Moderate,22.5,5312,THF
2024,A,5,Z3,Heteropogon contortus,Moderate,8.7,2642,THF
2024,A,5,Z3,Bothriochloa insculpta,Moderate,11.6,3319,THF
2024,A,5,Z3,Hyperrhenia hirta,Moderate,11.3,3253,THF
2024,A,5,Z3,,,10.3,3027,THF
2024,A,5,Z4,Bothriochloa insculpta,Moderate,13.2,3657,THF
2024,A,5,Z4,Heteropogon contortus,Moderate,17.8,4529,THF
2024,A,5,Z4,Aristida adscensionis,Low,18.3,4617,THF
2024,A,5,Z4,Cymbopogon excavatus,Low,17.6,4494,THF
2024,A,5,Z4,Eragrostis gummiflua,Low,19.1,4755,THF
2024,A,5,Z4,Bothriochloa insculpta,Moderate,16,4203,THF
2024,A,5,Z4,Cymbopogon excavatus,Low,17.5,4476,THF
2024,A,5,Z4,,,18.1,4582,THF
2024,A,5,Z4,Bothriochloa insculpta,Moderate,20.8,5039,THF
2024,A,5,Z4,Aristida adscensionis,Low,18.1,4582,THF
2024,A,5,Z4,Urochloa mosambicensis,Moderate,23.3,5437,THF
2024,A,5,Z4,Hyperrhenia filipendula,Moderate,24.5,5621,THF
2024,A,5,Z4,Bothriochloa insculpta,Moderate,35.3,6677,THF
2024,A,5,Z4,Cymbopogon excavatus,Low,24.2,5575,THF
2024,A,5,Z4,,,19,4738,THF
2024,A,5,Z4,,,23.6,5483,THF
2024,A,5,Z4,Heteropogon contortus,Moderate,18.8,4703,THF
2024,A,5,Z4,Bothriochloa insculpta,Moderate,15.6,4128,THF
2024,A,5,Z4,Urochloa mosambicensis,Moderate,18.3,4617,THF
2024,A,5,Z4,,,18.6,4669,THF
2024,A,1,Z1,Eragrostis superba,Moderate,6.4,2022,C
2024,A,1,Z1,Heteropogon contortus,Moderate,2.8,802,C
2024,A,1,Z1,Cymbopogon excavatus,Low,5.8,1843,C
2024,B,1,Z1,,,2.6,723,C
2024,B,1,Z1,Eragrostis gummiflua,Low,5.1,1624,C
2024,B,1,Z1,Heteropogon contortus,Moderate,4.2,1323,C
2024,B,1,Z1,Cymbopogon excavatus,Low,6.7,2108,C
2024,B,1,Z1,,,6.2,1963,C
2024,B,1,Z1,Cymbopogon excavatus,Low,6.1,1933,C
2024,B,1,Z1,Heteropogon contortus,Moderate,3.7,1144,C
2024,B,1,Z1,Melinis repens,Low,3.2,958,C
2024,B,1,Z1,Aristida congesta C,Low,2.4,642,C
