Year,Site,Plot,Subplot,Fenced,Treatment,Species_name,Max_height(m),No_of_resprouts ,Length_of_ longest_ resprout_(cm),Mode_of_resprouting ,Stem_diameter_(cm),Woody_class,Dead (m)
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,0.6,,,,,,
2024,A,1,Z1,Fenced,C,Euclea divinorum,3,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia nilotica,3,,,,,,
2024,A,1,Z1,Fenced,C,Bolusanthus speciosus,3,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,2.2,,,,,,
2024,A,1,Z1,Fenced,C,Warburgia salutaris,2.2,,,,,,
2024,A,1,Z1,Fenced,C,Warburgia salutaris,2.2,,,,,,
2024,A,1,Z1,Fenced,C,Warburgia salutaris,2.2,,,,,,
2024,A,1,Z1,Fenced,C,Warburgia salutaris,2.2,,,,,,
2024,A,1,Z1,Fenced,C,Warburgia salutaris,2.2,,,,,,
2024,A,1,Z1,Fenced,C,Warburgia salutaris,2.2,,,,,,
2024,A,1,Z1,Fenced,C,Warburgia salutaris,1.9,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,3.2,,,,,,
2024,A,1,Z1,Fenced,C,Peltophorum africanum,1.4,,,,,,
2024,A,1,Z1,Fenced,C,Diospyros lycioides,1.4,,,,,,
2024,A,1,Z1,Fenced,C,Diospyros lycioides,1.4,,,,,,
2024,A,1,Z1,Fenced,C,Euclea divinorum,1,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,2.1,,,,,,
2024,A,1,Z1,Fenced,C,Carissa bispinosa,2.1,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia nilotica,2.2,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia nilotica,2.2,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia nilotica,2.2,,,,,,
2024,A,1,Z1,Fenced,C,Allophylus africanus,2.5,,,,,,
2024,A,1,Z1,Fenced,C,Allophylus africanus,2.5,,,,,,
2024,A,1,Z1,Fenced,C,Allophylus africanus,2.5,,,,,,
2024,A,1,Z1,Fenced,C,Bolusanthus speciosus,3,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Zanthoxylum capense,0.5,,,,,,
2024,A,1,Z1,Fenced,C,Warburgia salutaris,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Combretum hereroense,0.8,,,,,,
2024,A,1,Z1,Fenced,C,Combretum hereroense,0.8,,,,,,
2024,A,1,Z1,Fenced,C,Combretum hereroense,0.8,,,,,,
2024,A,1,Z1,Fenced,C,Combretum hereroense,0.8,,,,,,
2024,A,1,Z1,Fenced,C,Combretum hereroense,0.8,,,,,,
2024,A,1,Z1,Fenced,C,Bolusanthus speciosus,2,,,,,,
2024,A,1,Z1,Fenced,C,Rhus leptodictya,2,,,,,,
2024,A,1,Z1,Fenced,C,Euclea divinorum,1,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,3.5,,,,,,
2024,A,1,Z1,Fenced,C,Warburgia salutaris,2,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,1,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,1,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,1,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,1,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,1,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,1.3,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,1.3,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,3,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,3,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,3,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,3,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,3,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,3,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,3,,,,,,
2024,A,1,Z1,Fenced,C,Allophylus africanus,2.5,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,1,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Warburgia salutaris,2.5,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,3.8,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Senegalia rehmanniana,0.7,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,1.3,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,1.8,,,,,,
2024,A,1,Z1,Fenced,C,Piliostigma thonningii,1,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,1.1,,,,,,
2024,A,1,Z1,Fenced,C,Peltophorum africanum,1.7,,,,,,
2024,A,1,Z1,Fenced,C,Combretum hereroense,6.1,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,2.5,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,2.5,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,2.5,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,3,,,,,,
2024,A,1,Z1,Fenced,C,Carissa bispinosa,1,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,1.2,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,1.2,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,1.2,,,,,,
2024,A,1,Z1,Fenced,C,Senegalia rehmanniana,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Combretum apiculatum,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,2.8,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,2.8,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,1.4,,,,,,
2024,A,1,Z1,Fenced,C,Piliostigma thonningii,1,,,,,,
2024,A,1,Z1,Fenced,C,Combretum hereroense,0.6,,,,,,
2024,A,1,Z1,Fenced,C,Combretum hereroense,0.6,,,,,,
2024,A,1,Z1,Fenced,C,Combretum hereroense,0.6,,,,,,
2024,A,1,Z1,Fenced,C,Combretum hereroense,0.6,,,,,,
2024,A,1,Z1,Fenced,C,Combretum hereroense,0.6,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,0.7,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,0.7,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,0.25,,,,,,
2024,A,1,Z1,Fenced,C,Carissa bispinosa,1.5,,,,,,
