Year,Site,Plot,Subplot,Species_name,DPM_Height,Fencing,Treatment,Encroachment_level,Biomass
2024,A,3,Z1,Cymbopogon excavatus,16.7,Fenced,TFB,Moderate,2846
2024,A,3,Z1,NA,16.7,Fenced,TFB,Moderate,2846
2024,A,3,Z1,Hyperrhenia filipendula,21.9,Fenced,TFB,Moderate,4001
2024,A,3,Z1,Bothriochloa insculpta,21.8,Fenced,TFB,Moderate,3979
2024,A,3,Z1,Urochloa mosambicensis,20.9,Fenced,TFB,Moderate,3776
2024,A,3,Z1,NA,18.4,Fenced,TFB,Moderate,3219
2024,A,3,Z1,Urochloa mosambicensis,17.6,Fenced,TFB,Moderate,3043
2024,A,3,Z1,Hyperrhenia filipendula,15.9,Fenced,TFB,Moderate,2672
2024,A,3,Z1,Heteropogon contortus,15.3,Fenced,TFB,Moderate,2542
2024,A,3,Z1,Aristida adscensionis,15.4,Fenced,TFB,Moderate,2564
2024,A,3,Z2,Urochloa mosambicensis,31.7,Unfenced,TFB,Moderate,6264
2024,A,3,Z2,Loudetia simplex,31.7,Unfenced,TFB,Moderate,6264
2024,A,3,Z2,Bothriochloa insculpta,28.7,Unfenced,TFB,Moderate,5562
2024,A,3,Z2,NA,25.3,Unfenced,TFB,Moderate,4776
2024,A,3,Z2,Bothriochloa insculpta,3.6,Unfenced,TFB,Moderate,281
2024,A,3,Z2,Cymbopogon excavatus,11.2,Unfenced,TFB,Moderate,1679
2024,A,3,Z2,Aristida adscensionis,12.5,Unfenced,TFB,Moderate,1948
2024,A,3,Z2,NA,12.7,Unfenced,TFB,Moderate,1990
2024,A,3,Z2,Bothriochloa insculpta,51.3,Unfenced,TFB,Moderate,10972
2024,A,3,Z2,Hyparrhenia hirta,36,Unfenced,TFB,Moderate,7280
2024,A,3,Z2,NA,43.7,Unfenced,TFB,Moderate,9125
2024,A,3,Z2,NA,46.1,Unfenced,TFB,Moderate,9706
2024,A,3,Z2,Bothriochloa insculpta,5.9,Unfenced,TFB,Moderate,658
2024,A,3,Z2,Hyparrhenia hirta,8.7,Unfenced,TFB,Moderate,1179
2024,A,3,Z2,Digitaria eriantha,12.6,Unfenced,TFB,Moderate,1969
2024,A,3,Z2,Eragrostis gummiflua,12.7,Unfenced,TFB,Moderate,1990
2024,A,3,Z2,Urochloa mosambicensis,11.8,Unfenced,TFB,Moderate,1803
2024,A,3,Z2,Bothriochloa insculpta,15.7,Unfenced,TFB,Moderate,2628
2024,A,3,Z2,Eragrostis gummiflua,18.6,Unfenced,TFB,Moderate,3263
2024,A,3,Z2,NA,20.6,Unfenced,TFB,Moderate,3709
2024,A,3,Z3,Heteropogon contortus,10.7,Fenced,TFB,Moderate,1577
2024,A,3,Z3,Aristida adscensionis,16.9,Fenced,TFB,Moderate,2889
2024,A,3,Z3,Melinis repens,13.6,Fenced,TFB,Moderate,2179
2024,A,3,Z3,Eragrostis rigidior,13.5,Fenced,TFB,Moderate,2158
2024,A,3,Z3,Cynodon dactylon,31.8,Fenced,TFB,Moderate,6287
2024,A,3,Z3,Urochloa mosambicensis,29,Fenced,TFB,Moderate,5632
2024,A,3,Z3,Setaria pumila,26.4,Fenced,TFB,Moderate,5029
2024,A,3,Z3,NA,25.9,Fenced,TFB,Moderate,4914
2024,A,3,Z3,Heteropogon contortus,26.8,Fenced,TFB,Moderate,5122
2024,A,3,Z3,Aristida adscensionis,19.2,Fenced,TFB,Moderate,3396
2024,A,3,Z3,Urochloa mosambicensis,17.8,Fenced,TFB,Moderate,3087
2024,A,3,Z3,Cymbopogon excavatus,16.9,Fenced,TFB,Moderate,2889
2024,A,3,Z3,Aristida adscensionis,6.8,Fenced,TFB,Moderate,820
2024,A,3,Z3,Urochloa mosambicensis,11.5,Fenced,TFB,Moderate,1741
2024,A,3,Z3,Hyperrhenia filipendula,17.8,Fenced,TFB,Moderate,3087
2024,A,3,Z3,Setaria incrassata,14.2,Fenced,TFB,Moderate,2306
2024,A,3,Z3,Urochloa mosambicensis,31.7,Fenced,TFB,Moderate,6264
2024,A,3,Z3,Hyperrhenia filipendula,19.9,Fenced,TFB,Moderate,3552
2024,A,3,Z3,Hyparrhenia hirta,18.7,Fenced,TFB,Moderate,3285
2024,A,3,Z3,Pogonarthria squarrosa,18.5,Fenced,TFB,Moderate,3241
2024,A,3,Z4,Heteropogon contortus,14.9,Unfenced,TFB,Moderate,2456
2024,A,3,Z4,Aristida adscensionis,17.3,Unfenced,TFB,Moderate,2977
2024,A,3,Z4,NA,19.4,Unfenced,TFB,Moderate,3441
2024,A,3,Z4,NA,16.1,Unfenced,TFB,Moderate,2715
2024,A,3,Z4,Heteropogon contortus,8.5,Unfenced,TFB,Moderate,1141
2024,A,3,Z4,Melinis repens,9.7,Unfenced,TFB,Moderate,1376
2024,A,3,Z4,Digitaria eriantha,11.6,Unfenced,TFB,Moderate,1761
2024,A,3,Z4,Setaria incrassata,10.6,Unfenced,TFB,Moderate,1557
2024,A,3,Z4,Heteropogon contortus,6,Unfenced,TFB,Moderate,675
2024,A,3,Z4,Urochloa mosambicensis,10.9,Unfenced,TFB,Moderate,1618
2024,A,3,Z4,Themeda triandra,11.4,Unfenced,TFB,Moderate,1720
2024,A,3,Z4,NA,13.2,Unfenced,TFB,Moderate,2095
2024,A,3,Z4,Urochloa mosambicensis,42.7,Unfenced,TFB,Moderate,8884
2024,A,3,Z4,Melinis repens,41.3,Unfenced,TFB,Moderate,8547
