Year,Site,Plot,Subplot,Spp_name,Grazing_value,DPM_Height,Treatment
2024,A,4,Z4,Heteropogon contortus,Moderate,23,TF
2024,A,4,Z4,Themeda triandra,High,22.2,TF
2024,A,4,Z4,Eragrostis superba,Moderate,21.3,TF
2024,A,4,Z4,,,20.8,TF
2024,A,4,Z4,Bothriochloa insculpta,Moderate,19.9,TF
2024,A,4,Z4,Heteropogon contortus,Moderate,19.9,TF
2024,A,4,Z4,Digitaria eriantha,High,19.5,TF
2024,A,4,Z4,,,19.2,TF
2024,A,4,Z4,Heteropogon contortus,Moderate,25.7,TF
2024,A,4,Z4,Themeda triandra,High,17.1,TF
2024,A,4,Z4,Eragrostis superba,Moderate,17.8,TF
2024,A,4,Z4,Digitaria eriantha,High,22.1,TF
2024,A,5,Z1,Hyperrhenia hirta,Moderate,12.1,THF
2024,A,5,Z1,Urochloa mosambicensis,Moderate,13.8,THF
2024,A,5,Z1,Hyperrhenia filipendula,Moderate,13.7,THF
2024,A,5,Z1,Bothriochloa insculpta,Moderate,14.2,THF
2024,A,5,Z1,Heteropogon contortus,Moderate,NA,THF
2024,A,5,Z1,Aristida adscensionis,Low,NA,THF
2024,A,5,Z1,Urochloa mosambicensis,Moderate,25.6,THF
2024,A,5,Z1,Aristida adscensionis,Low,20.8,THF
2024,A,5,Z1,,,22.3,THF
2024,A,5,Z1,,,22.7,THF
2024,A,5,Z1,Cymbopogon excavatus,Low,28.2,THF
2024,A,5,Z1,Bothriochloa insculpta,Moderate,28.8,THF
2024,A,5,Z1,Urochloa mosambicensis,Moderate,31.2,THF
2024,A,5,Z1,,,28.8,THF
2024,A,5,Z1,Hyperrhenia hirta,Moderate,21,THF
2024,A,5,Z1,Heteropogon contortus,Moderate,17.1,THF
2024,A,5,Z1,Urochloa mosambicensis,Moderate,21.7,THF
2024,A,5,Z1,,,23,THF
2024,A,5,Z1,Urochloa mosambicensis,Moderate,17.1,THF
2024,A,5,Z1,Hyperrhenia filipendula,Moderate,14.7,THF
2024,A,5,Z1,Bothriochloa insculpta,Moderate,21.1,THF
2024,A,5,Z1,,,21.4,THF
2024,A,5,Z2,Urochloa mosambicensis,Moderate,22.6,THF
2024,A,5,Z2,Heteropogon contortus,Moderate,16.8,THF
2024,A,5,Z2,Aristida adscensionis,Low,14.9,THF
2024,A,5,Z2,Setaria sphacelata ,High,13.6,THF
2024,A,5,Z2,Urochloa mosambicensis,Moderate,10.6,THF
2024,A,5,Z2,Bothriochloa insculpta,Moderate,14.8,THF
2024,A,5,Z2,Heteropogon contortus,Moderate,17,THF
2024,A,5,Z2,Aristida adscensionis,Low,19.8,THF
2024,A,5,Z2,Melinis repens ,Low,NA,THF
2024,A,5,Z2,Panicum maximum,High,10.8,THF
2024,A,5,Z2,Hyperrhenia filipendula,Moderate,9.2,THF
2024,A,5,Z2,,,11.4,THF
2024,A,5,Z2,,,10.3,THF
2024,A,5,Z2,Heteropogon contortus,Moderate,17.7,THF
2024,A,5,Z2,Hyperrhenia filipendula,Moderate,17.5,THF
2024,A,5,Z2,Cymbopogon excavatus,Low,17.4,THF
2024,A,5,Z2,,,16.4,THF
2024,A,5,Z2,Urochloa mosambicensis,Moderate,15.1,THF
2024,A,5,Z2,Cymbopogon excavatus,Low,17.3,THF
2024,A,5,Z2,,,20.1,THF
2024,A,5,Z2,,,22.7,THF
2024,A,5,Z3,Bothriochloa insculpta,Moderate,29.8,THF
2024,A,5,Z3,Urochloa mosambicensis,Moderate,26.7,THF
2024,A,5,Z3,,,22.3,THF
2024,A,5,Z3,,,22.3,THF
2024,A,5,Z3,Bothriochloa insculpta,Moderate,36.3,THF
2024,A,5,Z3,Heteropogon contortus,Moderate,34.5,THF
2024,A,5,Z3,Eragrostis gummiflua,Low,34.2,THF
2024,A,5,Z3,Andropogon eucomus,Low,34.5,THF
2024,A,5,Z3,Aristida adscensionis,Low,20.4,THF
2024,A,5,Z3,Bothriochloa insculpta,Moderate,17.1,THF
2024,A,5,Z3,,,19.3,THF
2024,A,5,Z3,,,18.6,THF
2024,A,5,Z3,Bothriochloa insculpta,Moderate,17.1,THF
2024,A,5,Z3,Aristida adscensionis,Low,17,THF
2024,A,5,Z3,Cymbopogon excavatus,Low,20.2,THF
2024,A,5,Z3,Eragrostis superba,Moderate,22.5,THF
2024,A,5,Z3,Heteropogon contortus,Moderate,8.7,THF
2024,A,5,Z3,Bothriochloa insculpta,Moderate,11.6,THF
2024,A,5,Z3,Hyperrhenia hirta,Moderate,11.3,THF
2024,A,5,Z3,,,10.3,THF
2024,A,5,Z4,Bothriochloa insculpta,Moderate,13.2,THF
2024,A,5,Z4,Heteropogon contortus,Moderate,17.8,THF
2024,A,5,Z4,Aristida adscensionis,Low,18.3,THF
2024,A,5,Z4,Cymbopogon excavatus,Low,17.6,THF
2024,A,5,Z4,Eragrostis gummiflua,Low,19.1,THF
2024,A,5,Z4,Bothriochloa insculpta,Moderate,16,THF
2024,A,5,Z4,Cymbopogon excavatus,Low,17.5,THF
2024,A,5,Z4,,,18.1,THF
2024,A,5,Z4,Bothriochloa insculpta,Moderate,20.8,THF
2024,A,5,Z4,Aristida adscensionis,Low,18.1,THF
2024,A,5,Z4,Urochloa mosambicensis,Moderate,23.3,THF
2024,A,5,Z4,Hyperrhenia filipendula,Moderate,24.5,THF
2024,A,5,Z4,Bothriochloa insculpta,Moderate,35.3,THF
2024,A,5,Z4,Cymbopogon excavatus,Low,24.2,THF
2024,A,5,Z4,,,19,THF
2024,A,5,Z4,,,23.6,THF
2024,A,5,Z4,Heteropogon contortus,Moderate,18.8,THF
2024,A,5,Z4,Bothriochloa insculpta,Moderate,15.6,THF
2024,A,5,Z4,Urochloa mosambicensis,Moderate,18.3,THF
2024,A,5,Z4,,,18.6,THF
2024,A,1,Z1,Eragrostis superba,Moderate,6.4,C
2024,A,1,Z1,Heteropogon contortus,Moderate,2.8,C
2024,A,1,Z1,Cymbopogon excavatus,Low,5.8,C
2024,B,1,Z1,,,2.6,C
2024,B,1,Z1,Eragrostis gummiflua,Low,5.1,C
2024,B,1,Z1,Heteropogon contortus,Moderate,4.2,C
2024,B,1,Z1,Cymbopogon excavatus,Low,6.7,C
2024,B,1,Z1,,,6.2,C
2024,B,1,Z1,Cymbopogon excavatus,Low,6.1,C
2024,B,1,Z1,Heteropogon contortus,Moderate,3.7,C
2024,B,1,Z1,Melinis repens,Low,3.2,C
2024,B,1,Z1,Aristida congesta C,Low,2.4,C
2024,B,1,Z1,Eragrostis gummiflua,Low,8.5,C
2024,B,1,Z1,Eragrostis rigidior,Moderate,3.1,C
2024,B,1,Z1,Melinis repens,Low,4.4,C
2024,B,1,Z1,Heteropogon contortus,Moderate,4.2,C
2024,B,1,Z1,Aristida congesta C,Low,6.7,C
2024,B,1,Z1,Heteropogon contortus,Moderate,6,C
2024,B,1,Z1,,,6.7,C
2024,B,1,Z1,,,5.3,C
2024,B,1,Z2,Cymbopogon excavatus,Low,2.2,C
2024,B,1,Z2,Eragrostis rigidior,Moderate,8,C
2024,B,1,Z2,Heteropogon contortus,Moderate,14,C
2024,B,1,Z2,Aristida  canescens,Low,20,C
2024,B,1,Z2,Aristida congesta C,Low,7,C
2024,B,1,Z2,Eragrostis rigidior,Moderate,8.2,C
2024,B,1,Z2,Heteropogon contortus,Moderate,5.9,C
2024,B,1,Z2,Aristida  canescens,Low,6.6,C
2024,B,1,Z2,Bothriochloa insculpta,Moderate,2.6,C
2024,B,1,Z2,Melinis repens,Low,6,C
2024,B,1,Z2,Heteropogon contortus,Moderate,7.6,C
2024,B,1,Z2,,,6.6,C
2024,B,1,Z2,Cymbopogon excavatus,Low,11.4,C
2024,B,1,Z2,Bothriochloa insculpta,Moderate,22.9,C
2024,B,1,Z2,,,6.3,C
2024,B,1,Z2,,,31,C
2024,B,1,Z2,Heteropogon contortus,Moderate,5.6,C
2024,B,1,Z2,Melinis repens,Low,7.2,C
2024,B,1,Z2,Bothriochloa insculpta,Moderate,5.2,C
2024,B,1,Z2,,,7.5,C
2024,B,1,Z3,Aristida congesta B,Low,4,C
2024,B,1,Z3,Eragrostis rigidior,Moderate,4.7,C
2024,B,1,Z3,Eragrostis superba,Moderate,4.7,C
2024,B,1,Z3,Cymbopogon excavatus,Low,10.5,C
2024,B,1,Z3,Hyperrhenia filipendula,Moderate,NA,C
2024,B,1,Z3,Heteropogon contortus,Moderate,NA,C
2024,B,1,Z3,Eragrostis gummiflua,Low,10.7,C
2024,B,1,Z3,Heteropogon contortus,Moderate,11.9,C
2024,B,1,Z3,Eragrostis superba,Moderate,10.6,C
2024,B,1,Z3,,,9.7,C
2024,B,1,Z3,Aristida congesta B,Low,7.3,C
2024,B,1,Z3,Eragrostis superba,Moderate,8.8,C
2024,B,1,Z3,Heteropogon contortus,Moderate,12.3,C
2024,B,1,Z3,Eragrostis gummiflua,Low,5.6,C
2024,B,1,Z3,Aristida adscensionis,Moderate,NA,C
2024,B,1,Z3,Bothriochloa insculpta,Moderate,NA,C
