Year,Site,Plot,Subplot,Fencing,Encroachment_level,Treatment,Species_name,Max_height(m),No_of_resprouts ,Length_of_ longest_ resprout_(cm),Mode_of_resprouting ,Stem_diameter_(cm),Woody_class,Dead (m),BD,BD_Height,Comment
2024,A,1,Z1,Fenced,Moderate,C,Searsia leptodictya,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Searsia leptodictya,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Senegalia rehmanniana,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Senegalia rehmanniana,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Senegalia rehmanniana,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Senegalia rehmanniana,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Senegalia rehmanniana,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Senegalia rehmanniana,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Senegalia rehmanniana,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Senegalia rehmanniana,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Senegalia rehmanniana,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Senegalia rehmanniana,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Senegalia rehmanniana,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Senegalia rehmanniana,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Senegalia rehmanniana,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Senegalia rehmanniana,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,A,1,Z1,Fenced,Moderate,C,Senegalia rehmanniana,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
