Date,Site,Plot,Subplot,Quadrat,Spp_name,Number,Grazing_value,DPM Height,KgDM,Grazing activity,Quadrat under canopy,Biomass intensity,Dung presence,Longest_grass(m),Fencing,Treatment,
08/04/2025,F,4,Z4,4,Cynodon dactylon,6,,4.8,1172,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z4,4,Pogonarthria squarrosa ,1,,6.9,1466,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z4,4,Heteropogon contortus,1,,7.2,1508,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z4,4,Setaria incressata,1,,,,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z4,1,Setaria incressata,4,,5.8,1312,N,N,4,N,,Unfenced,TFB,
08/04/2025,F,4,Z4,1,Aristida adscensionis,2,,5.6,1284,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z4,1,,,,7.7,1578,,,,,,Unfenced,TFB,
08/04/2025,F,4,Z4,1,,,,9,1760,,,,,,Unfenced,TFB,
09/04/2025,F,3,Z1,2,Digitaria erianthra,3,,6.3,1382,N,Y,1,4,,Fenced,TF,
09/04/2025,F,3,Z1,2,,,,1.7,738,,,,,,Fenced,TF,
09/04/2025,F,3,Z1,2,,,,1.7,738,,,,,,Fenced,TF,
09/04/2025,F,3,Z1,2,,,,3.7,1018,,,,,,Fenced,TF,
09/04/2025,F,3,Z1,1,Eragrostis viscosa,16,,6.4,1396,N,N,3,N,,Fenced,TF,
09/04/2025,F,3,Z1,1,Pogonarthria squarrosa ,2,,5.2,1228,,,,,,Fenced,TF,
09/04/2025,F,3,Z1,1,,,,4.2,1088,,,,,,Fenced,TF,
09/04/2025,F,3,Z1,1,,,,4.2,1088,,,,,,Fenced,TF,
09/04/2025,F,3,Z1,3,Eragrostis viscosa,5,,10.6,1984,N,N,4,N,,Fenced,TF,
09/04/2025,F,3,Z1,3,Eragrostis rigidior,2,,7.2,1508,,,,,,Fenced,TF,
09/04/2025,F,3,Z1,3,Digitaria erianthra,4,,7.2,1508,,,,,,Fenced,TF,
09/04/2025,F,3,Z1,3,Cynodon dactylon,3,,7.1,1494,,,,,,Fenced,TF,
09/04/2025,F,3,Z1,4,Cynodon dactylon,2,,5.1,1214,N,N,3,N,,Fenced,TF,
09/04/2025,F,3,Z1,4,Digitaria erianthra,6,,5.5,1270,,,,,,Fenced,TF,
09/04/2025,F,3,Z1,4,Eragrostis viscosa,3,,5.6,1284,,,,,,Fenced,TF,
09/04/2025,F,3,Z1,4,,,,8.9,1326,,,,,,Fenced,TF,
09/04/2025,F,3,Z1,5,Setaria incressata,2,,5.4,1256,N,Y,1.5,N,,Fenced,TF,
09/04/2025,F,3,Z1,5,Digitaria erianthra,2,,5.8,1312,,,,,,Fenced,TF,
09/04/2025,F,3,Z1,5,,,,6.1,1354,,,,,,Fenced,TF,
09/04/2025,F,3,Z1,5,,,,6.5,1410,,,,,,Fenced,TF,
09/04/2025,F,3,Z2,2,Eragrostis viscosa,9,,7.2,1508,N,Y,2,N,,Fenced,TF,
09/04/2025,F,3,Z2,2,Pogonarthria squarrosa ,2,,7.9,1605,,,,,,Fenced,TF,
09/04/2025,F,3,Z2,2,Eragrostis rigidior,2,,7.8,1592,,,,,,Fenced,TF,
09/04/2025,F,3,Z2,2,,,,7.5,1550,,,,,,Fenced,TF,
09/04/2025,F,3,Z2,1,Eragrostis viscosa,18,,8.3,1662,N,N,2.5,N,,Fenced,TF,
09/04/2025,F,3,Z2,1,Setaria incressata,1,,6.4,1395,,,,,,Fenced,TF,
09/04/2025,F,3,Z2,1,Eragrostis rigidior,1,,6.8,1452,,,,,,Fenced,TF,
09/04/2025,F,3,Z2,1,,,,7.1,1494,,,,,,Fenced,TF,
09/04/2025,F,3,Z2,5,Eragrostis viscosa,8,,6.5,1410,N,N,2.5,N,,Fenced,TF,
