Year,Dpm,Biomass
2025,9.5,1844
2025,8.5,1802
2025,10.8,1984
2025,10.2,1928
2025,10,1900
2025,8,1620
2025,9.2,1788
2025,10,1900
2025,8.9,1746
2025,1.9,766
2025,3.3,962
2025,3.3,962
2025,3.9,1046
2025,12,3286
2025,15.3,2642
2025,14,2460
2025,16.5,2810
2025,6.3,1382
2025,6.9,1466
2025,7.9,1606
2025,7.7,1578
2025,2.6,864
2025,2.7,878
2025,3.3,962
2025,4.1,1074
2025,3.4,976
2025,4.8,1172
2025,6.9,1466
2025,7.2,1508
2025,5.8,1312
2025,5.6,1284
2025,7.7,1578
2025,9,1760
2025,6.3,1382
2025,1.7,738
2025,1.7,738
2025,3.7,1018
2025,6.4,1396
2025,5.2,1228
2025,4.2,1088
2025,4.2,1088
2025,10.6,1984
2025,7.2,1508
2025,7.2,1508
2025,7.1,1494
2025,5.1,1214
2025,5.5,1270
2025,5.6,1284
2025,8.9,1326
2025,5.4,1256
2025,5.8,1312
2025,6.1,1354
2025,6.5,1410
2025,7.2,1508
2025,7.9,1605
2025,7.8,1592
2025,7.5,1550
2025,8.3,1662
2025,6.4,1395
2025,6.8,1452
2025,7.1,1494
2025,6.5,1410
2025,6.2,1368
2025,5.9,1326
2025,6.2,1368
2025,6.9,1466
2025,6.4,1396
2025,7,1480
2025,6.8,1452
2025,6.8,1452
2025,6.5,1410
2025,6.3,1382
2025,6,1340
2025,6.4,1396
2025,6.6,1424
2025,6.4,1396
2025,6.6,1424
2025,7.4,1536
2025,8.7,1718
2025,8.9,1740
2025,9.6,1844
2025,4.7,1536
2025,6.8,1718
2025,8.6,1704
2025,9.1,1774
2025,11.6,2124
2025,9.7,1858
2025,8.3,1662
2025,8.1,1634
2025,5.1,1214
2025,5.3,1242
2025,9.4,1816
2025,9,1760
2025,7.2,1508
2025,7.1,1494
2025,7.2,1508
2025,7.5,1550
2025,7,1480
2025,5.5,1270
2025,3.9,1046
2025,3.4,976
2025,3.6,1004
2025,3.6,1004
2025,4.6,1144
2025,4.5,1130
2025,6.8,1452
2025,9.6,1844
2025,9.6,1844
2025,9.8,1872
2025,19.4,1816
2025,8.5,1690
2025,10.7,1998
2025,11.7,2138
2025,8.5,1690
2025,7.9,1606
2025,8,1620
2025,8.1,1634
2025,3.9,1043
2025,4.2,1088
2025,4.6,1144
2025,4.3,1102
2025,2.2,808
2025,2,780
2025,2.1,794
2025,2,780
2025,6.9,1466
2025,6.1,1354
2025,6.4,1396
2025,6.3,1382
2025,2.9,906
2025,2.6,864
2025,2.8,892
2025,2.9,906
2025,2.3,822
2025,2.3,822
2025,3.7,1018
2025,4,1060
2025,4.7,1158
2025,3.9,1045
2025,4.4,1116
2025,4.5,1130
2025,4.3,1102
2025,4.6,1144
2025,4.7,1158
2025,5,1200
2025,6.1,1354
2025,6.3,1382
2025,7.8,1592
2025,9.4,1816
2025,4.2,1088
2025,4.1,1074
2025,5,1200
